Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID
Physical Infrastructure Web Map Service,physical-infrastructure-web-map-service,WebService,b2f5f17a-c8a7-47b7-baeb-a8941cd0cfcc,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/physical-infrastructure?, wms, (DEPRECATED) - WMS URL for use in viewers such as ESRI tools, 9e555774-3574-4d4c-855f-cebff28eabc5,
Pest Infestation Web Map Service,pest-infestation-web-map-service,WebService,d1280c88-933b-4f4f-9327-b4999b20e633,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/pest-infestation?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) - getCapabilities request,955f8905-727b-46f1-bb2f-f65d2e0f5e0b,
Pest Infestation Web Map Service,pest-infestation-web-map-service,WebService,d1280c88-933b-4f4f-9327-b4999b20e633,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Forest_Health_Pest_Infestation_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 8144508a-9e15-4e4d-947b-332e1b55fff7,
Pest Infestation Web Map Service,pest-infestation-web-map-service,WebService,d1280c88-933b-4f4f-9327-b4999b20e633,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/pest-infestation?, wms, (DEPRECATED) - WMS URL for use in viewers such as ESRI tools, d2247c6e-67a0-478f-ab6c-5e89398f86bd,
Parks Recreation and Tourism Web Map Service,parks-recreation-and-tourism-web-map-service,WebService,3e40eabf-d7d6-4fb3-b92e-a1b5b2b90251,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/parks-and-recreation?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) - getCapabilities request,2509b474-f450-4f1a-afad-8b78d8292ab4,
Parks Recreation and Tourism Web Map Service,parks-recreation-and-tourism-web-map-service,WebService,3e40eabf-d7d6-4fb3-b92e-a1b5b2b90251,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Parks_Recreation_and_Tourism_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, baa4cecc-1498-4e41-8458-76a632d2898f,
Parks Recreation and Tourism Web Map Service,parks-recreation-and-tourism-web-map-service,WebService,3e40eabf-d7d6-4fb3-b92e-a1b5b2b90251,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/parks-and-recreation?, wms, (DEPRECATED) - WMS URL for use in viewers such as ESRI tools, a5e57b94-f6b5-4962-92db-0f809260afa4,
Mining and Petroleum Web Map Service,mining-and-petroleum-web-map-service,WebService,3c8ff454-67f3-44b1-9974-6cac5ebcc0e8,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/mining-and-petroleum?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) - getCapabilities request,18631ac5-8f48-4f66-b997-111566ff42ee,
Mining and Petroleum Web Map Service,mining-and-petroleum-web-map-service,WebService,3c8ff454-67f3-44b1-9974-6cac5ebcc0e8,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Mining_and_Petroleum_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, f41f38b4-c934-4a54-a157-e62122c81032,
Mining and Petroleum Web Map Service,mining-and-petroleum-web-map-service,WebService,3c8ff454-67f3-44b1-9974-6cac5ebcc0e8,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/mining-and-petroleum?, wms, (DEPRECATED) - WMS URL for use in viewers such as ESRI tools, d1321e4a-d245-4c9f-9498-0652122cd9c8,
Licenses and Permits Web Map Service,licenses-and-permits-web-map-services,WebService,922e06dc-3f7a-48a3-9c4f-ad9fce5f21c4,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/license-and-permits?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) - getCapabilities request,e15a7cd6-57f9-411f-b645-589a15880e26,
Licenses and Permits Web Map Service,licenses-and-permits-web-map-services,WebService,922e06dc-3f7a-48a3-9c4f-ad9fce5f21c4,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Licenses_and_Permits_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, bc9d0717-abd4-43f7-9e36-9ecde6be8517,
Licenses and Permits Web Map Service,licenses-and-permits-web-map-services,WebService,922e06dc-3f7a-48a3-9c4f-ad9fce5f21c4,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/license-and-permits?, wms, (DEPRECATED) - WMS URL for use in viewers such as ESRI tools, 638b0a7e-2600-44ed-9aa5-359de711e84f,
Land Use Plans Web Map Service,land-use-plans-web-map-service,WebService,f11884a5-5dab-43e0-bd5f-0f11bcb1d65d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/land-use-plans?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,46ee26a5-4b30-46e2-a7ca-ab2ab095df46,
Land Use Plans Web Map Service,land-use-plans-web-map-service,WebService,f11884a5-5dab-43e0-bd5f-0f11bcb1d65d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Land_Use_Plans_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 38de13bf-f9fa-4128-8ab2-f96daaf6aaa9,
Land Use Plans Web Map Service,land-use-plans-web-map-service,WebService,f11884a5-5dab-43e0-bd5f-0f11bcb1d65d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/land-use-plans?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, 8fea0632-a710-4260-8a1e-60d8d715e8bb,
Land Ownership and Status Web Map Service,land-ownership-and-status-web-map-service,WebService,3ed58cd1-dc44-4255-9ec4-88c6c8a6f3fe,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/land-ownership-and-status?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,22a04b11-9e5d-4356-b9e5-9dcbdfbb8823,
Land Ownership and Status Web Map Service,land-ownership-and-status-web-map-service,WebService,3ed58cd1-dc44-4255-9ec4-88c6c8a6f3fe,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Land_Ownership_and_Status_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, e1fed0b6-5ff6-4f40-9cf4-032eb245bd41,
Land Ownership and Status Web Map Service,land-ownership-and-status-web-map-service,WebService,3ed58cd1-dc44-4255-9ec4-88c6c8a6f3fe,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/land-ownership-and-status?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, e3bb2c81-4a85-4294-ac78-32e50d0e6765,
Geology and Soils Web Map Service,geology-and-soils-web-map-service,WebService,ea93ec77-a017-45f7-bdf4-4699a5c04fa5,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/geology-and-soils?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,8557450f-3196-4895-b357-f7f83ce5a2ff,
Geology and Soils Web Map Service,geology-and-soils-web-map-service,WebService,ea93ec77-a017-45f7-bdf4-4699a5c04fa5,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Geology_and_Soils_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, eddab0d7-5df4-4462-93e9-7a17cab77b43,
Geology and Soils Web Map Service,geology-and-soils-web-map-service,WebService,ea93ec77-a017-45f7-bdf4-4699a5c04fa5,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/geology-and-soils?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, e962b4d7-af62-4461-b8d6-5002154e33a5,
Known Fish Observations Web Map Service,known-fish-observations-web-map-service,WebService,45153d5c-8e76-48a8-81fc-9bfce17c5228,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/known-fish?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,e94f8b5a-1bbc-49d9-910f-79fc83eededf,
Known Fish Observations Web Map Service,known-fish-observations-web-map-service,WebService,45153d5c-8e76-48a8-81fc-9bfce17c5228,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Known_Fish_Observations_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 39f69d39-798f-4880-a4af-d3319081e751,
Known Fish Observations Web Map Service,known-fish-observations-web-map-service,WebService,45153d5c-8e76-48a8-81fc-9bfce17c5228,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/known-fish?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, dad7f247-8deb-4560-92d0-8714c0e51b05,
Geodetic Survey Web Map Service,geodetic-survey-web-map-service,WebService,eaadb52f-8c47-410c-a035-1f4df0e6663d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/geodetic-survey?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,cddce1f7-8da9-4662-bb3a-f1f316100604,
Geodetic Survey Web Map Service,geodetic-survey-web-map-service,WebService,eaadb52f-8c47-410c-a035-1f4df0e6663d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Geodetic_Survey_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 4ef9e714-728c-4c79-bfde-b16dac33e16e,
Geodetic Survey Web Map Service,geodetic-survey-web-map-service,WebService,eaadb52f-8c47-410c-a035-1f4df0e6663d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/geodetic-survey?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, b34f9b7b-92eb-49bb-b50c-94b4b306add8,
Forest Grasslands and Wetlands Web Map Service,forest-grasslands-and-wetlands-web-map-service,WebService,0e01b882-d04a-4c72-967c-1ed40212276d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/forest-grasslands-and-wetlands?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,e7ad3725-6493-4000-9c42-2c8c1d58ac6f,
Forest Grasslands and Wetlands Web Map Service,forest-grasslands-and-wetlands-web-map-service,WebService,0e01b882-d04a-4c72-967c-1ed40212276d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Forest_Grasslands_and_Wetlands_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 77d1f211-e1ff-426f-87bf-2cd4c855ec6d,
Forest Grasslands and Wetlands Web Map Service,forest-grasslands-and-wetlands-web-map-service,WebService,0e01b882-d04a-4c72-967c-1ed40212276d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/forest-grasslands-and-wetlands?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, aaaa3953-553e-4572-927e-42b1a8141a89,
Fresh Water and Marine Web Map Service,fresh-water-and-marine-web-map-service,WebService,54a15ac8-1347-4bfc-b99b-f02d06753d03,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/freshwater-and-marine?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,727eb51c-5423-4405-9ee8-2a8bb896a814,
Fresh Water and Marine Web Map Service,fresh-water-and-marine-web-map-service,WebService,54a15ac8-1347-4bfc-b99b-f02d06753d03,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Freshwater_and_Marine_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, d7e5d4f0-b608-4d51-bc81-2b528c10f649,
Fresh Water and Marine Web Map Service,fresh-water-and-marine-web-map-service,WebService,54a15ac8-1347-4bfc-b99b-f02d06753d03,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/freshwater-and-marine?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, 3ba54264-c999-4ab1-8dcc-c8e198f935dd,
Air and Climate Web Map Service,air-and-climate-web-map-service,WebService,d507b48e-16db-4751-9465-77a92ba4eace,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/air-climate?service=WMS&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,e6ea1feb-7255-4cc7-be78-98284528ba5d,
Air and Climate Web Map Service,air-and-climate-web-map-service,WebService,d507b48e-16db-4751-9465-77a92ba4eace,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Air_Climate_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 3c376495-9cb5-4137-9723-2b46bb6c2e70,
Air and Climate Web Map Service,air-and-climate-web-map-service,WebService,d507b48e-16db-4751-9465-77a92ba4eace,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/air-climate?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, 2e5d4af8-62fd-45a6-96ae-fbf7fa5ef4df,
Base Mapping Corporate Watershed Web Map Service,base-mapping-corporate-watershed-web-map-service,WebService,2464c257-4f40-433b-bf66-33e0ae149097,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/corporate-watershed?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,2dfe33e5-f386-4d5b-a058-05d0dfdafbf4,
Base Mapping Corporate Watershed Web Map Service,base-mapping-corporate-watershed-web-map-service,WebService,2464c257-4f40-433b-bf66-33e0ae149097,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Base_Mapping_Corporate_Watershed_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, ccb054d8-8b92-485a-95d9-2d6ee5632bf2,
Base Mapping Corporate Watershed Web Map Service,base-mapping-corporate-watershed-web-map-service,WebService,2464c257-4f40-433b-bf66-33e0ae149097,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/corporate-watershed?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, 4eed536a-75de-4f4b-825c-b106984d95a7,
Base Mapping and Trim Web Map Service,base-mapping-and-trim-web-map-service,WebService,b87cbc69-f936-41ce-8f96-0b73f7727a3e,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/base3?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,e11dc6dc-7acd-4d65-a5b1-441f637013de,
Base Mapping and Trim Web Map Service,base-mapping-and-trim-web-map-service,WebService,b87cbc69-f936-41ce-8f96-0b73f7727a3e,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Base_Mapping_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, 26606d3a-2cba-4ade-9ffa-523ec29dbc90,
Base Mapping and Trim Web Map Service,base-mapping-and-trim-web-map-service,WebService,b87cbc69-f936-41ce-8f96-0b73f7727a3e,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/base3?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, 89637aa4-f72d-4a13-bba6-29b82aeb1319,
Airphoto Systems Web Map Service,airphoto-systems-web-map-service,WebService,7f7915bc-cd74-4cce-8e4b-4c54377a6e4c,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/airphoto-system?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,c4b47f68-1bda-44bc-8781-b1c28ea888c5,
Airphoto Systems Web Map Service,airphoto-systems-web-map-service,WebService,7f7915bc-cd74-4cce-8e4b-4c54377a6e4c,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Airphoto_System_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, f66ed84b-5a71-4f59-be1f-f453789e02c1,
Airphoto Systems Web Map Service,airphoto-systems-web-map-service,WebService,7f7915bc-cd74-4cce-8e4b-4c54377a6e4c,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/airphoto-system?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, c714476d-425d-46ac-ab02-7d3d4aea4f43,
Administrative Water Boundaries Web Map Service,administrative-water-boundaries-web-map-service,WebService,ebd6e190-6ff1-46d7-b25a-370b1fc5f132,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/water-admin-boundaries?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,9ae04699-886c-4292-9568-e40771a4d621,
Administrative Water Boundaries Web Map Service,administrative-water-boundaries-web-map-service,WebService,ebd6e190-6ff1-46d7-b25a-370b1fc5f132,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Administrative_Water_Boundaries_loader.kml,", kml, KML with GroundOverlays for use in Google Earth, d0a69856-77dc-462d-92e0-8eac5c5882a1,
Administrative Water Boundaries Web Map Service,administrative-water-boundaries-web-map-service,WebService,ebd6e190-6ff1-46d7-b25a-370b1fc5f132,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,http://openmaps.gov.bc.ca/mapserver/water-admin-boundaries?, wms, (DEPRECATED) WMS URL for use in viewers such as ESRI tools, 26ea1c7f-2d99-4917-a78a-6ef5394b8a16,
Administrative Forest Boundaries Web Map Service,administrative-forest-boundaries-web-map-service,WebService,0a54a6ea-23c6-43ce-83fb-661200bfe6fe,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2012-11-07,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/forest-admin-boundaries?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) getCapabilities request,8319403e-246b-470a-be48-14304470a4fa,
