Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID,Resource Type,Object Name
Local Government Boundaries - Road centreline aligned,local-government-boundaries-road-centreline-aligned,Geographic,8dff4756-69d1-48f3-98d0-08d9235d5551,db214e4b-621a-48f8-9435-06b65e4f5d6c,Elections BC,Service,Access Only,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,A spatial layer of polygon features representing L,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16905,other,Custom Download,9fda591e-7ebb-4344-bdc4-69587a161609,Data,WHSE_ADMIN_BOUNDARIES.EBC_LOCAL_GOVERNMENTS_SP	
Regional District Boundaries - Road centreline aligned,regional-district-boundaries-road-centreline-aligned,Geographic,b66ed992-16c9-4527-b363-0ae4827d103b,db214e4b-621a-48f8-9435-06b65e4f5d6c,Elections BC,Service,Access Only,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,A spatial layer of polygon features representing r,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16904,other,Custom Download,415367e7-c2e4-47fb-b4bc-0a566c089321,Data,WHSE_ADMIN_BOUNDARIES.EBC_REGIONAL_DISTRICTS_SP
Provincial Site-based and Point Voting Areas - Gazetted 12/23/2015,provincial-site-based-and-point-voting-areas-gazetted-12-23-2015,Geographic,b53f60d9-d36a-4091-b154-ac98101061d0,db214e4b-621a-48f8-9435-06b65e4f5d6c,Elections BC,Service,Access Only,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,Site-based Voting Areas are a distinct type of vot,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16903,other,Custom Download,ff13bf92-3381-42cd-91f9-bcbe4ee9097a,Data,WHSE_ADMIN_BOUNDARIES.EBC_SBP_VOTING_AREAS_BS09_SVW	
Provincial Electoral District Voting Areas - Gazetted 12/23/2015,provincial-electoral-district-voting-areas-gazetted-12-23-2015,Geographic,3d0b578e-e80c-41c3-844a-4330146862d7,db214e4b-621a-48f8-9435-06b65e4f5d6c,Elections BC,Service,Elections BC Open Data License,LOW-SENSITIVITY,Public,Public,2016-02-04,2016-03-31,An area containing up to 700 registered voters. Ea,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16902,other,Custom Download,d5104907-05b0-4462-ba7f-f79da0bc8fb5,Data,WHSE_ADMIN_BOUNDARIES.EBC_VOTING_AREAS_BS09_POLY_SVW	
Historical DriveBC Events 2015,historical-drivebc-events-2015,Geographic,2b3b027d-367b-4b04-a27b-254e17cc48e6,ddda53fb-0e46-40e3-9d50-db9bdbfb27f5,Business Management Services,Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2016-02-01,2016-03-01,This dataset will include all the published events,completed,https://catalogue.data.gov.bc.ca/dataset/2b3b027d-367b-4b04-a27b-254e17cc48e6/resource/8d2c8d6a-f1a4-47a9-b76d-4794f2610881/download/drivebceventshist2015.csv,csv,drivebc_events_hist_2015,8d2c8d6a-f1a4-47a9-b76d-4794f2610881,Data,
Historical DriveBC Events 2014,historical-drivebc-events-2014,Geographic,fb853ab9-2f13-49f9-986c-9a2074ee8132,ddda53fb-0e46-40e3-9d50-db9bdbfb27f5,Business Management Services,Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2016-02-01,2016-02-01,This dataset will include all the published events,completed,https://catalogue.data.gov.bc.ca/dataset/fb853ab9-2f13-49f9-986c-9a2074ee8132/resource/62b36c2f-b11a-4acb-98f6-fc6b18595ffc/download/drivebceventshist2014.csv,csv,drivebc_events_hist_2014,62b36c2f-b11a-4acb-98f6-fc6b18595ffc,Data,
Okanagan Conservation Ranking Polygons,okanagan-conservation-ranking-polygons,Geographic,a7449d62-b60c-4189-9854-69ccea12a58c,f473c4b8-03df-4cb3-a86a-168406eac22b,Regional Operations - Thompson Okanagan,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2016-01-14,2016-02-03,This spatial layer contains the Okanagan Conservat,completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16701,other,Custom Download,56c7d89d-fe02-482d-98ee-c651ea12cb08,Data,REG_LAND_AND_NATURAL_RESOURCE.CONSERV_RANKING_OK_SP
Land Act Transfer of Administration/Control (MTO),land-act-transfer-of-administration-control-mto-,Geographic,004a0ea7-0fc9-45d7-b0f1-b98676cb1c76,bfcd546e-9211-42a6-9a29-6873d18b77eb,Land Tenures,Natural Resources,Access Only,LOW-PUBLIC,Public,Government,2016-01-11,2016-01-11,This featureclass object is only accessible to sel,onGoing,"http://apps.gov.bc.ca/notice/edc/faq/, https://openmaps.gov.bc.ca/geo/pub/WHSE_MINERAL_TENURE.MTA_FEDERAL_TRANSFER_LANDS_SVW/ows?service=WMS&request=GetCapabilities","other, wms","Federal Transfer of Administration and Control (MTO), WMS getCapabilities request","1e30142e-f3f3-41aa-99fa-8e107e3642ec, 3207020b-709e-43de-bc75-ede2da942b5e","Data, Data",WHSE_MINERAL_TENURE.MTA_FEDERAL_TRANSFER_LANDS_SVW
Water Survey of Canada Sub-Sub-Drainage Areas,water-survey-of-canada-sub-sub-drainage-areas,Geographic,7ae18a3c-917b-4cb1-9aa8-51a172475dbb,6969d274-d120-4a6a-9730-fcd4e33d4c81,Knowledge Management,Natural Resources,Open Government License - Canada,LOW-PUBLIC,Public,Public,2016-01-07,2016-02-03,"Atlas of Canada 1,000,000 National Frameworks Data",completed,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16681,fgdb,WSC Sub-Sub-Drainage Areas (polygons),6585ea0a-6122-439f-a208-1ad7c6aa40c7,Data,WHSE_IMAGERY_AND_BASE_MAPS.DRP_SUB_SUB_DRAINAGES_1M_SP
Community Safety and Crime Prevention Grants,community-safety-and-crime-prevention-grants,Dataset,40555709-fdc8-4d4c-bffe-1d5897fdf9cb,892b6e83-7680-4021-98a0-2afe654d6091,Civil Forfeiture Office,Justice,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-12-23,2015-12-23,This dataset contains a listing of grant category ,completed,https://catalogue.data.gov.bc.ca/dataset/40555709-fdc8-4d4c-bffe-1d5897fdf9cb/resource/de65cd42-fc0b-4bc0-8ea8-26fe1f0b47f8/download/civil-forfeiture-office-grants-.csv,csv,Civil Forfeiture Office Grants for Fiscal 2014-15,de65cd42-fc0b-4bc0-8ea8-26fe1f0b47f8,Data,
"Surveyed Railways, Highways and Roads",surveyed-railways-highways-and-roads,Geographic,c0183ff7-895a-43a3-bc4c-cf02d3db6ebc,e51a8106-11c7-4436-a967-7cee18bfb159,GeoBC,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-12-02,2015-12-29,This geographic dataset is made up of polygons whi,onGoing,"https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=7125, https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TEMP_TRANSPORT/ows?service=WMS&request=GetCapabilities","other, wms","Custom Download, WMS getCapabilities request","c8f84c30-f037-4bb7-aff0-891fd0484185, ab515c3c-9426-4e62-8353-cf2cb32eb45c","Data, Data",WHSE_TANTALIS.TEMP_TRANSPORT
Long-term Change in Growing Degree Days and Heating and Cooling Degree Days in BC,long-term-change-in-growing-degree-days-and-heating-and-cooling-degree-days-in-bc,Dataset,8f0d304e-161d-42e6-a982-cad13e60bd8f,3772cd8e-a74c-4c1e-810c-8610e923b223,Climate Action Secretariat,Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-12-01,2016-03-08,This data set contains the results reported in the,completed,https://catalogue.data.gov.bc.ca/dataset/8f0d304e-161d-42e6-a982-cad13e60bd8f/resource/31d62c2b-ab92-49b5-89af-16ebda42aa98/download/growheatcooldegreedaychange1900-2013.csv,csv,degree_day_change_1900_2013,31d62c2b-ab92-49b5-89af-16ebda42aa98,Data,
Change in Size of Glaciers in BC (1985-2005),change-in-size-of-glaciers-in-bc-1985-2005-,Dataset,89ff86d7-2d04-4c96-b945-ba56688906eb,3772cd8e-a74c-4c1e-810c-8610e923b223,Climate Action Secretariat,Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-12-01,2016-03-08,This data set contains the results reported in the,completed,https://catalogue.data.gov.bc.ca/dataset/89ff86d7-2d04-4c96-b945-ba56688906eb/resource/bf6ba520-dcfd-4a6b-a822-963b77ff7848/download/glacierchange1985-2005.csv,csv,glacier_change_1985-2005,bf6ba520-dcfd-4a6b-a822-963b77ff7848,Data,
Environmental Protection Information Resources e-Library,environmental-protection-information-resources-e-library,Application,dae0f2c3-b4f4-4d16-a96d-d7fe7c1581f3,6969d274-d120-4a6a-9730-fcd4e33d4c81,Knowledge Management,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-12-01,2015-12-01,A searchable catalog that provides access to a bro,completed,http://www.env.gov.bc.ca/eirs/epd/,,Environmental Protection Information Resources e-Library,72361605-663c-4113-bbde-18f97e096eba,,
BC Data Catalogue API,bc-data-catalogue-api,WebService,a2a2130b-e853-49e8-9b30-1d0c735aa3d9,d2e433a1-b785-4d03-8a2b-392069175eb4,Enterprise Data Services,Service,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-11-27,2016-03-18,The live published metadata content of the BC Data,onGoing,"http://apps.gov.bc.ca/pub/api-explorer/?url=https://catalogue.data.gov.bc.ca/dataset/a2a2130b-e853-49e8-9b30-1d0c735aa3d9/resource/0b9e7d31-91ff-4146-a473-106a3b301964/download/bcdc.json, https://catalogue.data.gov.bc.ca/dataset/a2a2130b-e853-49e8-9b30-1d0c735aa3d9/resource/0b9e7d31-91ff-4146-a473-106a3b301964/download/BCDC.json, http://api.gov.bc.ca/editor/#/?import=http://catalogue.data.gov.bc.ca/dataset/a2a2130b-e853-49e8-9b30-1d0c735aa3d9/resource/0b9e7d31-91ff-4146-a473-106a3b301964/download/bcdc.json","html, json, html","API Console, API Specs, API Spec Editor","3fc94687-4693-4700-806b-120e64f8c10f, 0b9e7d31-91ff-4146-a473-106a3b301964, fe78561e-ccd3-4990-a3bc-165b1c4cfc9f",,
Water Users' Communities,water-users-communities,Geographic,ce204d38-11c0-40d5-ab6b-c52a294aa8da,746e99a3-c02b-450c-9720-84e34ede45ba,Water Management,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-11-27,2016-02-03,General locations of active Water Users' Communiti,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16641,shp,Custom download of Water Users' Communities,25e792bb-9ed2-4c89-b0db-f3bd59a6cb88,Data,WHSE_WATER_MANAGEMENT.WUC_WATER_USER_COMMUNITIES_SVW
BC Timber Sales Block Access Roads,bc-timber-sales-block-access-roads,Geographic,7c166ce7-a3ff-40ee-b7e2-98b3059aba37,a2aea22f-afe8-4440-aa77-e40c933ee025,BC Timber Sales ,Natural Resources,Access Only,LOW-SENSITIVITY,Named users,Named users,2015-11-16,2015-12-13,This spatial layer represents BC Timber Sales bloc,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16624,other,BC Timber Sales Block Access Roads,06484a2c-b4b3-4ea3-a031-c1e5504a0fc0,Data,WHSE_FOREST_TENURE.BCTS_BLOCK_ACCESS_ROADS_SP
BC Timber Sales Non Developed Blocks,bc-timber-sales-non-developed-blocks,Geographic,9b880988-48ca-4e53-ad6d-59987cb7167b,a2aea22f-afe8-4440-aa77-e40c933ee025,BC Timber Sales ,Natural Resources,Access Only,LOW-SENSITIVITY,Named users,Named users,2015-11-16,2015-11-17,Geographic boundaries of  BC Timber Sales (BCTS)  ,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16621,other,BC Timber Sales Non Developed Blocks,ce7bd635-2704-4c32-91f1-3369a8101ba3,Data,WHSE_TENURE.BCTS_BLOCKS_NON_DEVELOPED_SP
First Nation Community Locations,first-nation-community-locations,Geographic,c1a366fe-0212-48ba-a7f5-081036511794,52b3116a-4b37-486e-ac8b-b91ce2aeda60,Deputy Minister's Office,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-11-12,2015-12-09,This spatial dataset contains the approximate  loc,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16580,other,,7b9fcb21-ea43-46b1-a4e6-45c241bc6a88,Data,WHSE_HUMAN_CULTURAL_ECONOMIC.FN_COMMUNITY_LOCATIONS_SP 
Petroleum Survey Index of Geological and Geophysical Reports,petroleum-survey-index-of-geological-and-geophysical-reports,Geographic,558ced87-4993-4327-b128-9fbe0d006464,cb0f7f4a-c9af-4a1e-bc9a-4ba402141fcd,Tenure and Geoscience,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-11-06,2015-12-04,This dataset provides a geographic index of geolog,onGoing,"https://catalogue.data.gov.bc.ca/dataset/558ced87-4993-4327-b128-9fbe0d006464/resource/08f8757b-dd23-4887-9229-2228a7c24cb5/download/OrbitalEJANICKIProfileDesktopGeologicalGeophysicalReports-JUNE-2015.pdf, https://catalogue.data.gov.bc.ca/dataset/558ced87-4993-4327-b128-9fbe0d006464/resource/a76f8106-5879-48e8-9bf5-51c89290779a/download/OrbitalEJANICKIProfileDesktopNew-foldpermits-shapfilePermitsAug272015.zip","pdf, shp","Geological_Geophysical_Reports_JUNE_2015.pdf, Permits_Aug27_2015.zip","08f8757b-dd23-4887-9229-2228a7c24cb5, a76f8106-5879-48e8-9bf5-51c89290779a","Reports, Data",
Archived Automated Snow Station Data,archived-automated-snow-station-data,Dataset,5e7acd31-b242-4f09-8a64-000af872d68f,6969d274-d120-4a6a-9730-fcd4e33d4c81,Knowledge Management,Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-22,2016-03-16,The [British Columbia Automated Snow Pillow Networ,onGoing,"https://catalogue.data.gov.bc.ca/dataset/5e7acd31-b242-4f09-8a64-000af872d68f/resource/462076a4-63d5-43fc-ab5b-74298a5f6c8f/download/dailyasparchivetop100.csv, http://pub.data.gov.bc.ca/datasets/5e7acd31-b242-4f09-8a64-000af872d68f/daily_asp_archive.csv, https://catalogue.data.gov.bc.ca/dataset/5e7acd31-b242-4f09-8a64-000af872d68f/resource/35adfa06-78bf-4ebf-a6d8-8d671afbe457/download/hourlyasparchivetop100.csv, http://pub.data.gov.bc.ca/datasets/5e7acd31-b242-4f09-8a64-000af872d68f/hourly_asp_archive.csv, https://catalogue.data.gov.bc.ca/dataset/5e7acd31-b242-4f09-8a64-000af872d68f/resource/945c144a-d094-4a20-a3c6-9fe74cad368a/download/daily.csv","csv, csv, csv, csv, csv","Preview Archived Daily Automated Snow Data, Download of Archived Daily Automated Snow Data, Preview Archived Hourly Automated Snow Data, Download Archived Hourly Automated Snow Data, Daily archived (compressed)","462076a4-63d5-43fc-ab5b-74298a5f6c8f, f4ec0b1f-f8ba-4601-8a11-cff6b6d988a4, 35adfa06-78bf-4ebf-a6d8-8d671afbe457, 3fbd9a69-c488-4669-9896-d075f213c786, 945c144a-d094-4a20-a3c6-9fe74cad368a","Data, Data, Data, Data, Data",
Current Year Manual Snow Survey Observations Data,current-year-manual-snow-survey-observations-data,Dataset,12472805-6f6d-457b-8db2-5c1f42a00099,6969d274-d120-4a6a-9730-fcd4e33d4c81,Knowledge Management,Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-05,2015-10-05,This data file contains the current year (December,onGoing,ftp://ftp.env.gov.bc.ca/pub/outgoing/EMS/MSS/mss_report.csv,csv,current year manual snow survey data,70dd446f-93c7-43eb-9584-28aa80f0ac23,Data,
Current Year Automated Snow Pillow Survey Data,current-year-automated-snow-pillow-survey-data,Dataset,3a34bdd1-61b2-4687-8b55-c5db5e13ff50,6969d274-d120-4a6a-9730-fcd4e33d4c81,Knowledge Management,Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-05,2015-10-05,The [British Columbia Automated Snow Pillow Survey,onGoing,"http://bcrfc.env.gov.bc.ca/data/asp/realtime/data/SW.csv, http://bcrfc.env.gov.bc.ca/data/asp/realtime/data/SD.csv, http://bcrfc.env.gov.bc.ca/data/asp/realtime/data/PC.csv, http://bcrfc.env.gov.bc.ca/data/asp/realtime/data/TA.csv","csv, csv, csv, csv","snow water equivilent, snow depth, cumulative precipitation, air temperature","fe591e21-7ffd-45f4-b3b3-2291e4a6de15, abba1811-dd9a-4447-a297-2b5f81410abd, 9f048a78-d74c-40c1-aa1f-9e2fcd1a19dd, 0bc026a2-7487-4f01-8b97-16d1b591a82f","Data, Data, Data, Data",
TANTALIS - Surface Ownership,tantalis-surface-ownership,Geographic,74a82326-2bbb-4e7b-a1ab-3e20c92f8578,bfcd546e-9211-42a6-9a29-6873d18b77eb,Land Tenures,Natural Resources,Access Only,MEDIUM-SENSITIVITY,Public,Named users,2015-09-25,2015-12-15,"""The spatial view TA_SURFACE_OWNERSHIP_SVW is a mu",onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,TANTALIS - Surface Ownership,ea38f1f8-94ea-4007-91c9-3e95744dd40a,Data,WHSE_TANTALIS.TA_SURFACE_OWNERSHIP_SVW
Open511-DriveBC API,open511-drivebc-api,WebService,23a839e3-8fb4-4569-bb3d-c28a7621f687,6180e844-95af-4bca-a9d2-db2bc2983b20,Information Management - TRAN,Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-09-14,2016-03-24,Provides real-time access to road event informatio,completed,"http://api.open511.gov.bc.ca/help, https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/open511/open511.json, http://api.gov.bc.ca/editor/#/?import=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/open511/open511.json","html, json, html","Open511 API, API Specs, API Spec Editor","6667ea7d-933e-4329-9b13-6e6687c33ac9, e60b09d8-8dea-40b1-a139-81632b3d4273, fe8b0f6c-8c4b-40ad-9751-49d28a4f7012",,
Physiographic Areas,physiographic-areas,Geographic,e62f98bf-9d49-4437-ab20-83142dc3ccbf,e51a8106-11c7-4436-a967-7cee18bfb159,GeoBC,Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-09-03,2016-03-11,This is a polygon feature class representing large,onGoing,"https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16560, https://openmaps.gov.bc.ca/geo/pub/WHSE_BASEMAPPING.GNS_PHYSIOGRAPHIC_AREAS_SP/ows?service=WMS&request=GetCapabilities","other, wms","Physiographic Areas, WMS getCapabilities request","8b045fb2-b27e-4eb3-9692-ed57ab557f48, e524f9ba-c68e-4cbb-8946-965fdfe3bea0","Data, Data",WHSE_BASEMAPPING.GNS_PHYSIOGRAPHIC_AREAS_SP
Prospectors Reports Old,prospectors-reports-old,Dataset,78b58de7-0a1a-4645-9b7d-46e290f20d40,195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,BC Geological Survey,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-09-01,2016-03-08,Under the Prospectors Assistance Program (now disc,completed,https://catalogue.data.gov.bc.ca/dataset/78b58de7-0a1a-4645-9b7d-46e290f20d40/resource/5c0ff288-0ae6-43f4-8a4e-680311abb6c9/download/Prospectorsprospectors1994-2001.csv,csv,Prospectorsprospectors1994-2001,5c0ff288-0ae6-43f4-8a4e-680311abb6c9,Data,
Aggregate Resource Potential Maps,aggregate-resource-potential-maps,Geographic,5230c7db-effb-451c-84cb-4521f122819e,195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,BC Geological Survey,Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-09-01,2016-03-03,An aggregate potential map typically outlines area,completed,http://www.empr.gov.bc.ca/Mining/Geoscience/SurficialGeology/AggregateProject/Pages/Downloads.aspx,shp,Aggregate Data Downloadable Digital Files,a574aed7-f614-464e-be5e-9e239d898106,Data,
