Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID,Resource Type,Object Name
"Surveyed Railways, Highways and Roads",surveyed-railways-highways-and-roads,Geographic,c0183ff7-895a-43a3-bc4c-cf02d3db6ebc,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-12-02,2015-12-29,This geographic dataset is made up of polygons whi...,onGoing,https://openmaps.gov.bc.ca/geo/pub/WHSE_TANTALIS.TEMP_TRANSPORT/ows?service=WMS&request=GetCapabilities, wms, WMS getCapabilities request, ab515c3c-9426-4e62-8353-cf2cb32eb45c, Data,WHSE_TANTALIS.TEMP_TRANSPORT
Water Users' Communities,water-users-communities,Geographic,ce204d38-11c0-40d5-ab6b-c52a294aa8da,746e99a3-c02b-450c-9720-84e34ede45ba,"Ministry Of Forests Lands And Natural Resource Operations, Water Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-11-27,2016-02-03,General locations of active Water Users' Communiti...,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16641,shp,Custom download of Water Users' Communities,25e792bb-9ed2-4c89-b0db-f3bd59a6cb88,Data,WHSE_WATER_MANAGEMENT.WUC_WATER_USER_COMMUNITIES_SVW
BC Timber Sales Block Access Roads,bc-timber-sales-block-access-roads,Geographic,7c166ce7-a3ff-40ee-b7e2-98b3059aba37,a2aea22f-afe8-4440-aa77-e40c933ee025,"Ministry Of Forests Lands And Natural Resource Operations, BC Timber Sales ",Natural Resources,Access Only,LOW-SENSITIVITY,Named users,Named users,2015-11-16,2015-12-13,This spatial layer represents BC Timber Sales bloc...,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16624,other,BC Timber Sales Block Access Roads,06484a2c-b4b3-4ea3-a031-c1e5504a0fc0,Data,WHSE_FOREST_TENURE.BCTS_BLOCK_ACCESS_ROADS_SP
BC Timber Sales Non Developed Blocks,bc-timber-sales-non-developed-blocks,Geographic,9b880988-48ca-4e53-ad6d-59987cb7167b,a2aea22f-afe8-4440-aa77-e40c933ee025,"Ministry Of Forests Lands And Natural Resource Operations, BC Timber Sales ",Natural Resources,Access Only,LOW-SENSITIVITY,Named users,Named users,2015-11-16,2015-11-17,Geographic boundaries of  BC Timber Sales (BCTS)  ...,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16621,other,BC Timber Sales Non Developed Blocks,ce7bd635-2704-4c32-91f1-3369a8101ba3,Data,WHSE_TENURE.BCTS_BLOCKS_NON_DEVELOPED_SP
First Nation Community Locations,first-nation-community-locations,Geographic,c1a366fe-0212-48ba-a7f5-081036511794,52b3116a-4b37-486e-ac8b-b91ce2aeda60,"Ministry Of Aboriginal Relations And Reconciliation, Deputy Minister's Office",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-11-12,2015-12-09,This spatial dataset contains the approximate  loc...,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16580,other,,7b9fcb21-ea43-46b1-a4e6-45c241bc6a88,Data,WHSE_HUMAN_CULTURAL_ECONOMIC.FN_COMMUNITY_LOCATIONS_SP 
Petroleum Survey Index of Geological and Geophysical Reports,petroleum-survey-index-of-geological-and-geophysical-reports,Geographic,558ced87-4993-4327-b128-9fbe0d006464,cb0f7f4a-c9af-4a1e-bc9a-4ba402141fcd,"Ministry Of Natural Gas Development, Tenure and Geoscience",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-11-06,2015-12-04,This dataset provides a geographic index of geolog...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/558ced87-4993-4327-b128-9fbe0d006464/resource/08f8757b-dd23-4887-9229-2228a7c24cb5/download/OrbitalEJANICKIProfileDesktopGeologicalGeophysicalReports-JUNE-2015.pdf,",pdf,Geological_Geophysical_Reports_JUNE_2015.pdf,08f8757b-dd23-4887-9229-2228a7c24cb5,Reports,
Petroleum Survey Index of Geological and Geophysical Reports,petroleum-survey-index-of-geological-and-geophysical-reports,Geographic,558ced87-4993-4327-b128-9fbe0d006464,cb0f7f4a-c9af-4a1e-bc9a-4ba402141fcd,"Ministry Of Natural Gas Development, Tenure and Geoscience",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-11-06,2015-12-04,This dataset provides a geographic index of geolog...,onGoing,https://catalogue.data.gov.bc.ca/dataset/558ced87-4993-4327-b128-9fbe0d006464/resource/a76f8106-5879-48e8-9bf5-51c89290779a/download/OrbitalEJANICKIProfileDesktopNew-foldpermits-shapfilePermitsAug272015.zip, shp, Permits_Aug27_2015.zip, a76f8106-5879-48e8-9bf5-51c89290779a, Data,
TANTALIS - Surface Ownership,tantalis-surface-ownership,Geographic,74a82326-2bbb-4e7b-a1ab-3e20c92f8578,bfcd546e-9211-42a6-9a29-6873d18b77eb,"Ministry Of Forests Lands And Natural Resource Operations, Land Tenures",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Public,Named users,2015-09-25,2015-12-15,"""The spatial view TA_SURFACE_OWNERSHIP_SVW is a mu...",onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,TANTALIS - Surface Ownership,ea38f1f8-94ea-4007-91c9-3e95744dd40a,Data,WHSE_TANTALIS.TA_SURFACE_OWNERSHIP_SVW
Physiographic Areas,physiographic-areas,Geographic,e62f98bf-9d49-4437-ab20-83142dc3ccbf,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-09-03,2016-03-11,This is a polygon feature class representing large...,onGoing,"https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16560,",other,Physiographic Areas,8b045fb2-b27e-4eb3-9692-ed57ab557f48,Data,WHSE_BASEMAPPING.GNS_PHYSIOGRAPHIC_AREAS_SP
Physiographic Areas,physiographic-areas,Geographic,e62f98bf-9d49-4437-ab20-83142dc3ccbf,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-09-03,2016-03-11,This is a polygon feature class representing large...,onGoing,https://openmaps.gov.bc.ca/geo/pub/WHSE_BASEMAPPING.GNS_PHYSIOGRAPHIC_AREAS_SP/ows?service=WMS&request=GetCapabilities, wms, WMS getCapabilities request, e524f9ba-c68e-4cbb-8946-965fdfe3bea0, Data,WHSE_BASEMAPPING.GNS_PHYSIOGRAPHIC_AREAS_SP
Aggregate Resource Potential Maps,aggregate-resource-potential-maps,Geographic,5230c7db-effb-451c-84cb-4521f122819e,195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,"Ministry Of Energy And Mines, BC Geological Survey",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-09-01,2016-03-03,An aggregate potential map typically outlines area...,completed,http://www.empr.gov.bc.ca/Mining/Geoscience/SurficialGeology/AggregateProject/Pages/Downloads.aspx,shp,Aggregate Data Downloadable Digital Files,a574aed7-f614-464e-be5e-9e239d898106,Data,
Critical Habitat for federally-listed species at risk (posted),critical-habitat-for-federally-listed-species-at-risk-posted-,Geographic,076b8c98-a3f1-429b-9dae-03faed0c6aef,66263ee0-816d-4bb4-858b-41e1b6377e08,"Ministry Of Environment, Ecosystems",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2015-08-24,2015-12-15,This dataset displays the area within which critic...,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16526,other,Critical habitat for federally listed species at risk (posted),3093075a-0656-4656-bee7-7fee7a8713a0,Data,WHSE_WILDLIFE_MANAGEMENT.WCP_CRITICAL_HABITAT_SP
Critical habitat for federally-listed species at risk (secure),critical-habitat-for-federally-listed-species-at-risk-secure-,Geographic,f6cc0b98-2abb-432e-bcf2-b8766c0576fd,66263ee0-816d-4bb4-858b-41e1b6377e08,"Ministry Of Environment, Ecosystems",Natural Resources,Access Only,HIGH-SENSITIVITY,Named users,Named users,2015-08-24,2015-12-13,This dataset displays the area within which critic...,onGoing,https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16527,other,Critical habitat for federally-listed species at risk (secure),1fc4d1a7-5ee7-4a3a-a479-20eef08ccd8a,Data,WHSE_WILDLIFE_MANAGEMENT.WCP_CRITICAL_HABITAT_SECURE_SP
British Columbia Air Zones,british-columbia-air-zones,Geographic,e8eeefc4-2826-47bc-8430-85703d328516,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-18,2015-08-18,A spatial file of polygons representing the seven ...,completed,"https://catalogue.data.gov.bc.ca/dataset/e8eeefc4-2826-47bc-8430-85703d328516/resource/4cea4b22-36a3-4ea7-9346-7e872e747076/download/bcairzonesalbersshp.zip,",shp,bc_air_zones_albers_shp,4cea4b22-36a3-4ea7-9346-7e872e747076,Data,
British Columbia Air Zones,british-columbia-air-zones,Geographic,e8eeefc4-2826-47bc-8430-85703d328516,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-18,2015-08-18,A spatial file of polygons representing the seven ...,completed,"https://catalogue.data.gov.bc.ca/dataset/e8eeefc4-2826-47bc-8430-85703d328516/resource/80bff6d5-ea82-4cb5-a9f2-d5e7329b1bcd/download/bcairzones.kml,", kml, bc_air_zones.kml, 80bff6d5-ea82-4cb5-a9f2-d5e7329b1bcd, Data,
British Columbia Air Zones,british-columbia-air-zones,Geographic,e8eeefc4-2826-47bc-8430-85703d328516,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-18,2015-08-18,A spatial file of polygons representing the seven ...,completed,https://catalogue.data.gov.bc.ca/dataset/e8eeefc4-2826-47bc-8430-85703d328516/resource/c495d082-b586-4df0-9e06-bd6b66a8acd9/download/bcairzones.geojson, geojson, bc_air_zones.geojson, c495d082-b586-4df0-9e06-bd6b66a8acd9, Data,
COALFILE Database,coalfile-database,Geographic,453ca5c6-31e0-451f-8a99-17f72a55bdb9,195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,"Ministry Of Energy And Mines, BC Geological Survey",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-08-14,2016-03-08,"COALFILE includes data on 916 reports, 11595 boreh...",onGoing,https://catalogue.data.gov.bc.ca/dataset/453ca5c6-31e0-451f-8a99-17f72a55bdb9/resource/a5c155ac-a368-4531-afa4-38219efe9ef1/download/COALFILE2014.zip,zip,COALFILE2014.zip,a5c155ac-a368-4531-afa4-38219efe9ef1,Data,
Ungulate Winter Range - Proposed,ungulate-winter-range-proposed,Geographic,e5c2a2e3-70fc-49e3-9840-87212853e8a2,a4468dc1-b283-447f-bf9a-afc3a72b4db2,"Ministry Of Forests Lands And Natural Resource Operations, Resource Management Objectives",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-06-24,2015-12-14,An Ungulate Winter Range (UWR) is defined as an ar...,onGoing,"https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16528,",other,WCP_UNG_WNTR_RNG_PROPOSED_SP,bf53019f-e77f-45ef-91f9-09e837fb7094,Data,WHSE_WILDLIFE_MANAGEMENT.WCP_UNG_WNTR_RNG_PROPOSED_SP
Ungulate Winter Range - Proposed,ungulate-winter-range-proposed,Geographic,e5c2a2e3-70fc-49e3-9840-87212853e8a2,a4468dc1-b283-447f-bf9a-afc3a72b4db2,"Ministry Of Forests Lands And Natural Resource Operations, Resource Management Objectives",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-06-24,2015-12-14,An Ungulate Winter Range (UWR) is defined as an ar...,onGoing,https://openmaps.gov.bc.ca/geo/pub/WHSE_WILDLIFE_MANAGEMENT.WCP_UNG_WNTR_RNG_PROPOSED_SP/ows?service=WMS&request=GetCapabilities, wms, WMS getCapabilities request, e9a7b78f-cee3-49d8-ae4f-828552d325fc, Data,WHSE_WILDLIFE_MANAGEMENT.WCP_UNG_WNTR_RNG_PROPOSED_SP
Fisheries Sensitive Watersheds - Proposed,fisheries-sensitive-watersheds-proposed,Geographic,2f1ac4a9-71ad-4900-8a08-96cc0bf48618,a4468dc1-b283-447f-bf9a-afc3a72b4db2,"Ministry Of Forests Lands And Natural Resource Operations, Resource Management Objectives",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-06-24,2015-12-14,A Fisheries Sensitive Watershed (FSW) is a mapped ...,onGoing,"https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16529,",other,Custom Download,fc3e5450-1690-49c4-bd06-ad292be27245,Data,WHSE_WILDLIFE_MANAGEMENT.WCP_FISH_SENS_WS_PROPOSED_SP
Fisheries Sensitive Watersheds - Proposed,fisheries-sensitive-watersheds-proposed,Geographic,2f1ac4a9-71ad-4900-8a08-96cc0bf48618,a4468dc1-b283-447f-bf9a-afc3a72b4db2,"Ministry Of Forests Lands And Natural Resource Operations, Resource Management Objectives",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-06-24,2015-12-14,A Fisheries Sensitive Watershed (FSW) is a mapped ...,onGoing,https://openmaps.gov.bc.ca/geo/pub/WHSE_WILDLIFE_MANAGEMENT.WCP_FISH_SENS_WS_PROPOSED_SP/ows?service=WMS&request=GetCapabilities, wms, WMS getCapabilities request, 5d8614ec-28d1-4f48-84f1-cd3d994845cb, Data,WHSE_WILDLIFE_MANAGEMENT.WCP_FISH_SENS_WS_PROPOSED_SP
Railway Structure Point,railway-structure-point,Geographic,b22f04ff-ea69-445d-bcc2-65c215309fe0,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Open Government License - Canada,LOW-PUBLIC,Public,Public,2015-06-01,2015-12-14,This layer contains point railway structures withi...,onGoing,"https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16522,",other,GBA Railway Structure Point - Custom Download,a8e01fff-3a84-4e97-912a-4bff5045df50,Data,WHSE_BASEMAPPING.GBA_RAILWAY_STRUCTURE_PNTS_SP
Railway Structure Point,railway-structure-point,Geographic,b22f04ff-ea69-445d-bcc2-65c215309fe0,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Open Government License - Canada,LOW-PUBLIC,Public,Public,2015-06-01,2015-12-14,This layer contains point railway structures withi...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/b22f04ff-ea69-445d-bcc2-65c215309fe0/resource/899eadda-5f1d-425e-bf11-29e1e12aedf2/download/gbarailwaystructureattributevalues.xlsx,", xlsx, GBA_Railway_Structure_Attribute_Values, 899eadda-5f1d-425e-bf11-29e1e12aedf2, Data,WHSE_BASEMAPPING.GBA_RAILWAY_STRUCTURE_PNTS_SP
Railway Structure Point,railway-structure-point,Geographic,b22f04ff-ea69-445d-bcc2-65c215309fe0,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Open Government License - Canada,LOW-PUBLIC,Public,Public,2015-06-01,2015-12-14,This layer contains point railway structures withi...,onGoing,https://openmaps.gov.bc.ca/geo/pub/WHSE_BASEMAPPING.GBA_RAILWAY_STRUCTURE_PNTS_SP/ows?service=WMS&request=GetCapabilities, wms, WMS getCapabilities request, b651a58d-aafe-44ad-a405-6027dad5bc5c, Data,WHSE_BASEMAPPING.GBA_RAILWAY_STRUCTURE_PNTS_SP
Railway Station Point,railway-station-point,Geographic,3f4244c0-8dcd-404c-9c2f-a392534357ee,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Open Government License - Canada,LOW-PUBLIC,Public,Public,2015-06-01,2015-12-14,This layer contains railway stations within BC fro...,onGoing,"https://apps.gov.bc.ca/pub/dwds/addProductsFromExternalApplication.do?productTypeId=0&productId=16523,",other,GBA Railway Station Point - Custom Download,a61decf1-47d2-4cd3-bc77-dd65749b04b8,Data,WHSE_BASEMAPPING.GBA_RAILWAY_STATIONS_SP
