"Current Discovery Organization", "Organization", "Replacement Sub-Organization"
"NONGOV Integrated Cadastral Information Society (ICIS)", "Non-government", "Integrated Cadastral Information Society"
"NONGOV INTERFOR", "Non-government", "INTERFOR"
"NONGOV Timberwest", "Non-government", "Timberwest"
"NONGOV TransLink", "Non-government", "TransLink"
"NONGOV Vancouver 2010 Integrated Security Unit (V2010ISU)", "Non-government", "Vancouver 2010 Integrated Security Unit"
"NONGOV Vancouver Olympic Organizing Committee (VANOC)", "Non-government", "Vancouver Olympic Organizing Committee"
"NONGOV Weyerhaeuser", "Non-government", "Weyerhaeuser"
"BCAGENCY Destination BC", "BC Agency", "Destination BC"
"BCGOV AL CLAD Strategic Land Policy and Legislation Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Strategic Land Policy and Legislation"
"BCGOV AVED Post Secondary Audit and Accountability Branch", "Ministry of Advanced Education", "Post Secondary Audit and Accountability"
"BCGOV EMPR GeoScience and Natural Gas Development Branch", "Ministry of Energy and Mines", "Geoscience"
"BCGOV EMPR Resource Development and Geoscience Branch", "Ministry of Energy and Mines", "Geoscience"
"BCGOV ENV Aquatic Information Branch (MOE)", "Ministry of Environment", "Knowledge Management"
"BCGOV ENV ES Division Regional Operations Branch (MOE)", "Ministry of Environment", "Regional Operations"
"BCGOV ENV Environmental Management Branch (MOE)", "Ministry of Environment", "Environmental Management"
"BCGOV ENV Fish and Wildlife Branch (MOE)", "Ministry of Forests, Lands and Natural Resource Operations", "Fish, Wildlife and Habitat Management"
"BCGOV ENV Knowledge Management Branch", "Ministry of Environment", "Knowledge Management"
"BCGOV ENV Management and Standards Branch", "Ministry of Environment", "Environmental Management"
"BCGOV ENV Parks and Protected Areas Branch", "Ministry of Environment", "Parks Planning and Management" 
"BCGOV ENV Water Protection and Sustainability Branch", "Ministry of Environment", "Water Protection and Sustainability"
"BCGOV FLNRO Archaeology Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Archaeology" 
"BCGOV FLNRO Crown Land Opportunities and Restoration Branch", "Ministry of Forests, Lands and Natural Resource Operations", "LNG, Crown Land Opportunities and Restoration"
"BCGOV FLNRO First Nations Relations Branch", "Ministry of Forests, Lands and Natural Resource Operations", "First Nations Relations"
"BCGOV FLNRO Forest Analysis and Inventory Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Forest Analysis and Inventory"
"BCGOV FLNRO Forest Tenures Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Forest Tenures"
"BCGOV FLNRO Recreation Sites and Trails Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Recreation Sites and Trails BC"
"BCGOV FLNRO Resource Management Objectives Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Resource Management Objectives"
"BCGOV FLNRO Water Management Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Water Management"
"BCGOV FOR  Forest Analysis and Inventory Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Forest Analysis and Inventory"
"BCGOV FOR Forest Analysis and Inventory Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Forest Analysis and Inventory"
"BCGOV FOR Forest Practices Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Resource Practices" 
"BCGOV FOR Research Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Research, Innovation and Knowledge Management"
"BCGOV FOR Resource Practices Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Resource Practices"
"BCGOV FOR Wildfire Management Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Wildfire Management"
"BCGOV HLS Health Protection Branch", "Ministry of Health", "Health Protection"
"BCGOV HLTH Laboratory, Diagnostic and Blood Services Branch", "Ministry of Health", "Laboratory, Diagnostic and Blood Services"
"BCGOV JAG Court Services Branch", "Ministry of Justice", "Court Services" 
"BCGOV JAG EMBC Emergency Coordination", "Ministry of Justice", "Emergency Management BC"
"BCGOV JAG Policing and Security Programs Branch", "Ministry of Justice", "Policing and Security Programs"
"BCGOV JTST Economic Initiatives &amp; Analysis", "Ministry of Jobs, Tourism and Skills Training", "Economic Initiatives and Analysis"
"BCGOV JTST Labour Market Programs", "Ministry of Jobs, Tourism and Skills Training", "Labour Market Programs" 
"BCGOV JTST Regional Economic Policy and Projects", "Ministry of Jobs, Tourism and Skills Training", "Labour Market Programs"
"BCGOV MCFD Provincial Interface and Partnerships Team", "Ministry of Children and Family Development", "Provincial Interface and Partnerships Team"
"BCGOV MEM Mineral Titles and Policy Branch", "Ministry of Energy and Mines", "Mineral Titles" 
"BCGOV MOT Construction and Maintenance Branch", "Ministry of Transportation and Infrastructure", "Construction and Maintenance"
"BCGOV MSDI Engagement and Strategic Initiatives", "Ministry of Social Development and Social Innovation", "Strategic Initiatives"
"BCGOV MSDI Research Branch", "Ministry of Social Development and Social Innovation", "Research"
"BCGOV NGD Tenure and Geoscience Branch", "Ministry of Natural Gas Development", "Tenure and Geoscience"
"BCGOV TCA Archaeology Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Archaeology" 
"BCGOV TCA Resort Development Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Mountain Resorts" 
"BCGOV TCA Tourism Operations Branch", "Ministry of Jobs, Tourism and Skills Training", "Tourism" 
"OTHER government", "Non-government", "Other"
